date,QCOM,CRM
2023-01-13,111.2000732421875,147.34671020507812
2023-01-17,111.23706817626953,146.32177734375
2023-01-18,112.86473083496094,143.34542846679688
2023-01-19,108.74005126953125,144.29156494140625
2023-01-20,113.66007995605469,149.0615234375
2023-01-23,121.17884826660156,153.6146697998047
2023-01-24,120.8736572265625,152.6193084716797
2023-01-25,121.30834197998047,153.9103546142578
2023-01-26,123.8885726928711,162.70126342773438
2023-01-27,123.37067413330078,162.1395263671875
2023-01-30,121.73375701904297,162.3662109375
2023-01-31,123.19497680664062,165.53961181640625
2023-02-01,128.05026245117188,169.33392333984375
2023-02-02,125.63648223876953,172.11309814453125
2023-02-03,124.86891174316406,168.565185546875
2023-02-06,122.93598937988281,166.60398864746094
2023-02-07,126.35784912109375,168.80172729492188
2023-02-08,122.23313903808594,167.1755828857422
2023-02-09,120.71646118164062,171.1472625732422
2023-02-10,119.29224395751953,164.6132049560547
2023-02-13,121.00314331054688,168.6046142578125
2023-02-14,122.39034271240234,167.5008087158203
2023-02-15,123.06548309326172,168.62432861328125
2023-02-16,120.37425231933594,165.67759704589844
2023-02-17,118.11771392822266,162.78012084960938
2023-02-21,114.39993286132812,159.28147888183594
2023-02-22,114.63113403320312,160.99630737304688
2023-02-23,116.71198272705078,161.74533081054688
2023-02-24,114.9918212890625,159.85308837890625
2023-02-27,114.14098358154297,160.7794952392578
2023-02-28,114.24272155761719,161.24267578125
2023-03-01,115.08014678955078,164.92857360839844
2023-03-02,115.1731948852539,183.8901824951172
2023-03-03,115.00569152832031,183.73248291015625
2023-03-06,113.8984375,181.1405487060547
2023-03-07,110.90235137939453,180.6675262451172
2023-03-08,112.77259063720703,180.30287170410156
2023-03-09,109.06932830810547,176.1340789794922
2023-03-10,107.18048095703125,170.67422485351562
2023-03-13,106.47332000732422,172.97052001953125
2023-03-14,108.4458999633789,180.24374389648438
2023-03-15,107.45960235595703,180.26344299316406
2023-03-16,112.13056182861328,184.58993530273438
2023-03-17,112.33525848388672,182.17535400390625
2023-03-20,113.3494644165039,182.56956481933594
2023-03-21,115.19180297851562,185.949951171875
2023-03-22,113.48904418945312,183.8113250732422
2023-03-23,115.51744079589844,184.72789001464844
2023-03-24,116.08505249023438,187.30996704101562
2023-03-27,115.00569152832031,188.4926300048828
2023-03-28,112.90283966064453,189.51756286621094
2023-03-29,116.39208984375,193.79476928710938
2023-03-30,118.54146575927734,193.75535583496094
2023-03-31,118.70897674560547,196.88934326171875
2023-04-03,116.0664291381836,193.64694213867188
2023-04-04,113.79608917236328,194.3466796875
2023-04-05,114.48463439941406,192.4840545654297
2023-04-06,114.4474105834961,189.76394653320312
2023-04-10,115.64771270751953,188.71929931640625
2023-04-11,114.977783203125,186.1569061279297
2023-04-12,111.90724182128906,187.56622314453125
2023-04-13,112.70744323730469,191.21267700195312
2023-04-14,111.80489349365234,191.8335723876953
2023-04-17,111.0791244506836,194.22840881347656
2023-04-18,110.13005065917969,195.6278533935547
2023-04-19,110.29753875732422,196.0417938232422
2023-04-20,110.39058685302734,194.6521759033203
2023-04-21,109.57177734375,196.1501922607422
2023-04-24,109.19027709960938,192.09967041015625
2023-04-25,106.11974334716797,187.91116333007812
2023-04-26,106.22210693359375,188.74887084960938
2023-04-27,105.99876403808594,193.1049041748047
2023-04-28,108.67852020263672,195.49974060058594
2023-05-01,107.78527069091797,194.9281463623047
2023-05-02,108.03650665283203,191.03529357910156
2023-05-03,104.98456573486328,189.8230743408203
2023-05-04,99.1691665649414,189.59642028808594
2023-05-05,101.21617126464844,194.73104858398438
2023-05-08,100.77887725830078,195.03652954101562
2023-05-09,98.41548156738281,198.26907348632812
2023-05-10,99.05750274658203,201.885986328125
2023-05-11,96.82437133789062,200.5259552001953
2023-05-12,96.41497802734375,198.8899688720703
2023-05-15,98.8900146484375,200.3879852294922
2023-05-16,96.57315063476562,201.60015869140625
2023-05-17,97.52223205566406,206.3504180908203
2023-05-18,99.52273559570312,210.2334442138672
2023-05-19,98.49920654296875,207.31625366210938
2023-05-22,97.95955657958984,207.2176971435547
2023-05-23,96.35912322998047,203.6500701904297
2023-05-24,95.85670471191406,206.0350799560547
2023-05-25,96.78715515136719,206.872802734375
2023-05-26,102.67701721191406,212.32275390625
2023-05-30,107.93415069580078,215.703125
2023-05-31,106.2570571899414,220.14785766601562
2023-06-01,108.5244140625,209.81948852539062
2023-06-02,108.32766723632812,209.94761657714844
2023-06-05,105.61994934082031,206.82350158691406
2023-06-06,109.02099609375,209.77023315429688
2023-06-07,107.91541290283203,202.75323486328125
2023-06-08,109.01161193847656,206.49826049804688
